location_id:int:location_id|lat:int|long:int|l:label
1|30.2691029532|-97.7493953705|location
2|30.2679095833|-97.7493124167|location
3|39.0019311833|-94.5794659833|location
4|39.0004469333|-94.5777092667|location
5|39.09325785|-94.59387085|location
6|39.0935326667|-94.5931743|location
7|38.9852462167|-94.60591865|location
9|39.2974431129|-94.716053009|location
10|30.248923845|-97.7496260405|location
11|48.86337875|2.333328717|location
12|45.202483667|-0.746830983|location
13|44.724745941|5.03296136|location
14|44.916842649|5.784218561|location
